setup,class,ticker,entry_date,direction,entry_idx,entry_close,stop,adr,mae_peak_bar,mae_peak_adr,outcome,outcome_bar,first_past_be_bar,had_earnings
base,breakout,AAPL,2024-11-25,long,1233,231.6048,228.4918055223945,3.5520959022888143,1,-0.12879698143539997,WIN,20,1.0,1
base,breakout,ALM,2025-09-15,long,1432,4.81,4.51,0.2782142857142858,1,0.32349165596919066,WIN,1,,1
base,breakout,AMN,2021-04-22,long,328,78.59,76.85,1.7042857142857153,1,0.1642917015926242,WIN,1,,1
base,breakout,APP,2024-09-11,long,857,97.57,87.12,4.270142857142857,1,0.051520524572613566,WIN,39,2.0,1
base,breakout,ASTS,2025-06-04,long,1312,28.69,25.4001,1.6515214285714295,1,0.5872161167408422,WIN,37,2.0,1
base,breakout,ATI,2025-12-10,long,1493,104.73,99.43,3.3447857142857154,1,-0.08371238815213476,WIN,35,1.0,1
base,breakout,AXTI,2025-10-24,long,1461,6.06,5.4,0.5018571428571429,1,0.3985197836606874,WIN,3,3.0,1
base,breakout,BAP,2025-12-02,long,1487,261.23,256.54,8.337142857142856,1,0.280671692940374,WIN,47,2.0,1
base,breakout,CLS,2025-05-13,long,1347,109.87,100.66,5.113571428571428,2,0.17795781533733973,WIN,10,1.0,1
base,breakout,DRN,2024-07-11,long,1137,9.2653,8.91929294605809,0.29942988418281874,2,-0.25695095257384654,WIN,52,1.0,0
base,breakout,EAT,2024-09-16,long,1183,72.26,70.43,2.602328571428573,1,-0.1960167542256088,WIN,31,1.0,1
base,breakout,EOSE,2025-09-12,long,1324,8.2,7.171,0.5892142857142859,2,0.4582373621044966,WIN,37,1.0,1
base,breakout,ERO,2025-11-24,long,1465,22.96,21.61,1.028,1,-0.11284046692606971,WIN,42,1.0,1
base,breakout,FIX,2023-02-23,long,791,134.3156,125.75298049999999,3.640419080108182,1,-0.04068990933785066,WIN,8,1.0,1
base,breakout,FIX,2025-09-10,long,1429,751.2461,721.0504217617337,23.531073468336665,2,0.010616205713851386,WIN,30,1.0,1
base,breakout,FTAI,2025-12-30,long,1506,197.3466033935547,176.38201904296875,6.7721991539001465,1,0.4687748849391937,WIN,37,2.0,1
base,breakout,IONQ,2025-09-11,long,1177,47.05,43.38,2.3732214285714273,1,-0.04213681824885465,WIN,18,1.0,1
base,breakout,IONQ-WS,2025-09-09,long,402,44.0,41.045,2.2372999999999985,2,0.27711974254681887,WIN,20,3.0,0
base,breakout,IREN,2025-06-24,long,901,11.54,10.92,0.6865714285714289,2,-0.08739076154806559,WIN,45,1.0,1
base,breakout,KTOS,2025-05-16,long,1350,35.21,34.02,1.3579928571428574,1,0.41973711201931435,WIN,1,,1
base,breakout,KTOS,2025-09-11,long,1430,67.67,65.6,2.8142857142857136,1,0.007106598984770162,WIN,23,2.0,1
base,breakout,LNG,2021-04-23,long,329,70.9011,68.71261746866155,1.7126954179275973,1,0.10045256714862946,WIN,1,,1
base,breakout,METC,2021-07-26,long,393,5.410900115966797,5.016539573669434,0.2732413113117218,1,0.859688401222229,WIN,4,,1
base,breakout,PAG,2021-09-15,long,429,82.457,80.54357359189453,1.874286076870273,3,-0.2636516497795519,WIN,29,1.0,1
base,breakout,PSIX,2025-05-12,long,1346,34.51,31.0,2.3606357142857144,3,0.3685447927162466,WIN,60,5.0,1
base,breakout,PTON,2024-10-14,long,1203,5.4,4.7502,0.3156142857142857,1,0.9505273163445459,WIN,12,7.0,1
base,breakout,QXO,2025-06-06,long,1364,19.0,17.75,0.9400000000000003,1,-0.05319148936170287,WIN,20,1.0,1
base,breakout,RCAT,2024-11-05,long,1219,3.42,3.17,0.23299999999999996,2,0.9012875536480687,WIN,38,4.0,1
base,breakout,RGTI,2025-09-12,long,1103,19.09,16.66,1.157,1,0.36732929991357016,WIN,32,3.0,1
base,breakout,RH,2020-07-15,long,134,279.9,269.565,10.543892857142856,1,0.4078190150696535,WIN,39,4.0,1
